Prediciton_Label,Test_Label
1,-1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
1,-1.0
1,-1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
-1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,-1.0
1,1.0
1,1.0
-1,-1.0
1,1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
1,-1.0
1,1.0
1,1.0
-1,-1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
1,1.0
-1,-1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
1,-1.0
1,1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
1,1.0
1,1.0
1,1.0
-1,-1.0
1,1.0
-1,-1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
1,1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
-1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
1,1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
-1,-1.0
1,1.0
-1,-1.0
-1,-1.0
1,1.0
1,1.0
1,1.0
-1,1.0
-1,-1.0
-1,-1.0
-1,-1.0
-1,-1.0
Precsion,0.91 
Recall,0.97 
